datetime_local,pm1,pm10,pm25,relativehumidity,temperature,um003
2025-01-01 01:00:00+07:00,12.139916578928629,18.132291793823242,17.265833536783855,45.977749506632485,27.604458649953205,2132.179168701172
2025-01-01 02:00:00+07:00,13.958250125249227,21.012916723887127,19.989208221435547,46.626541455586754,27.5826252301534,2454.1145833333335
2025-01-01 03:00:00+07:00,13.765958388646444,20.682125091552734,19.78695821762085,46.84220822652181,27.76037534077962,2432.4666341145835
2025-01-01 04:00:00+07:00,15.809416850407919,24.45774968465169,23.095958550771076,47.40341663360596,27.60883363087972,2758.4771118164062
2025-01-01 05:00:00+07:00,16.77412525812785,24.745124975840252,23.614500045776367,47.55379104614258,27.480666637420654,2927.8208211263022
2025-01-01 06:00:00+07:00,19.56149999300639,30.380208651224773,28.317500114440918,47.45775032043457,27.529666741689045,3459.433308919271
2025-01-01 07:00:00+07:00,14.119999885559082,20.929750124613445,19.982374986012776,48.17945830027262,27.327999273935955,2485.3333129882812
2025-01-01 08:00:00+07:00,19.03595844904582,31.03974946339925,28.75575002034505,48.39895884195963,27.378166516621906,3389.3499755859375
2025-01-01 09:00:00+07:00,20.096708297729492,32.88812526067098,30.015999794006348,48.860833485921226,27.356582800547283,3589.635457356771
2025-01-01 10:00:00+07:00,22.096458276112873,37.182708740234375,32.93404165903727,49.09479204813639,27.6094168027242,4066.0895792643228
2025-01-01 11:00:00+07:00,26.13354221979777,46.52845891316732,39.09070841471354,50.463541666666664,27.69183349609375,5396.879150390625
2025-01-01 12:00:00+07:00,39.13758341471354,68.41033299763997,57.78004137674967,51.989791552225746,27.99633328119914,9759.14794921875
2025-01-01 13:00:00+07:00,32.565541903177895,59.690041859944664,48.68220869700114,52.36687469482422,28.022708415985107,7705.845947265625
2025-01-01 14:00:00+07:00,28.47029177347819,52.053374926249184,43.07295767466227,52.18766689300537,28.073166688283283,6112.6416422526045
2025-01-01 15:00:00+07:00,26.816583315531414,48.33187516530355,40.33758417765299,52.24195830027262,28.005666891733807,5490.5187581380205
2025-01-01 16:00:00+07:00,27.32158390680949,48.90200010935465,40.83929252624512,51.93016656239828,28.1517915725708,5767.1521402994795
2025-01-01 17:00:00+07:00,24.43429152170817,43.11804167429606,36.70554161071777,51.57920773824056,28.23104190826416,4804.654215494792
2025-01-01 18:00:00+07:00,28.318666617075603,51.82891654968262,42.7324587504069,53.454666455586754,28.19966745376587,6064.349934895833
2025-01-01 19:00:00+07:00,33.17687463760376,62.36025047302246,50.27404181162516,54.056583404541016,28.369333426157635,8036.2416585286455
2025-01-01 20:00:00+07:00,40.43791675567627,71.96233367919922,61.5058339436849,54.76841672261556,28.357499599456787,10156.75
2025-01-01 21:00:00+07:00,38.790082931518555,69.33799997965495,58.588375091552734,55.052958170572914,28.344666481018066,9669.931315104166
2025-01-01 22:00:00+07:00,48.63870811462402,80.35420926411946,74.22420819600423,54.84866714477539,28.366832733154297,12144.693684895834
2025-01-01 23:00:00+07:00,48.63954162597656,81.00358136494954,75.51966603597005,53.92691580454508,28.38416624069214,12140.752034505209
2025-01-02 00:00:00+07:00,33.957500298817955,64.26550102233887,52.43074989318848,58.00270779927572,28.223833560943604,8226.38330078125
2025-01-02 01:00:00+07:00,34.934374491373696,67.31166585286458,54.8579994837443,58.629916508992515,28.147000471750896,8670.67919921875
2025-01-02 02:00:00+07:00,26.40887467066447,48.73475011189779,40.49745877583822,55.53766663869222,27.837666193644207,5419.32080078125
2025-01-02 03:00:00+07:00,22.07116683324178,38.82162459691366,34.14970795313517,58.1690419514974,27.751000086466473,4090.0229288736978
2025-01-02 04:00:00+07:00,25.8104993502299,47.26516660054525,39.69766616821289,58.51016648610433,27.75433333714803,5248.743733723958
2025-01-02 05:00:00+07:00,26.530375162760418,49.09600035349528,40.874000231424965,58.87066618601481,27.773499806722004,5460.30419921875
2025-01-02 06:00:00+07:00,23.23754135767619,41.55245876312256,35.7089589436849,58.94087505340576,27.91191641489665,4467.591735839844
2025-01-02 07:00:00+07:00,26.62583367029826,48.5959587097168,40.63012536366781,59.29433377583822,27.815166473388672,5398.4499918619795
2025-01-02 08:00:00+07:00,30.055083115895588,55.25587558746338,45.37058353424072,56.12879180908203,27.722750504811604,6696.814615885417
2025-01-02 09:00:00+07:00,40.42474969228109,71.70570818583171,61.77979119618734,52.927625020345054,27.913458347320557,10117.770833333334
2025-01-02 10:00:00+07:00,45.55791664123535,77.8435827891032,71.2142505645752,52.48616695404053,28.057666937510174,11363.602132161459
2025-01-02 11:00:00+07:00,50.0028330485026,85.26704279581706,80.4543342590332,53.60199991861979,27.96808322270711,12425.904215494791
2025-01-02 12:00:00+07:00,47.147541999816895,81.96704292297363,75.30487632751465,52.69712511698405,28.338083426157635,11786.345865885416
2025-01-02 13:00:00+07:00,36.39766629536947,68.55554135640462,56.628542264302574,51.51887575785319,28.534916559855144,9127.575032552084
2025-01-02 14:00:00+07:00,37.032541592915855,69.04516537984212,57.32616647084554,50.81341679890951,28.836541652679443,9271.049967447916
2025-01-02 15:00:00+07:00,40.788791020711265,72.99095789591472,63.61537551879883,51.061000188191734,28.953166484832764,10203.126953125
2025-01-02 16:00:00+07:00,40.39000002543131,73.08062489827473,63.69570763905843,51.621833165486656,28.846999645233154,10124.577229817709
2025-01-02 17:00:00+07:00,40.19599978129069,72.71537335713704,62.926958084106445,52.881792068481445,28.69450044631958,10064.456298828125
2025-01-02 18:00:00+07:00,39.943416913350426,71.42404301961263,60.94541676839193,53.142791430155434,28.51954174041748,10015.60009765625
2025-01-02 19:00:00+07:00,39.63587506612142,71.23112487792969,60.5147918065389,52.77454153696696,28.573750336964924,9982.718831380209
2025-01-02 20:00:00+07:00,54.90399932861328,99.30329259236653,88.36229228973389,51.9065834681193,28.635333855946858,13574.587809244791
2025-01-02 21:00:00+07:00,53.72587458292643,86.57412592569987,81.28183237711589,56.79141648610433,28.623083750406902,13277.15625
2025-01-02 22:00:00+07:00,45.7878745396932,81.01970799763997,73.08625030517578,58.79087543487549,28.457500139872234,11322.022705078125
2025-01-02 23:00:00+07:00,34.725833574930824,68.09783299763997,55.465291341145836,58.981458028157554,28.104166984558105,8577.562459309896
2025-01-03 00:00:00+07:00,36.934999783833824,71.31108283996582,60.11720816294352,59.08329168955485,28.099333604176838,9305.956217447916
2025-01-03 01:00:00+07:00,38.787166913350426,72.9379170735677,62.84862486521403,59.607499758402504,28.146166960398357,9806.235514322916
2025-01-03 02:00:00+07:00,37.853874842325844,70.82999992370605,60.02420870463053,60.03591664632162,27.999333381652832,9550.837565104166
2025-01-03 03:00:00+07:00,36.27812480926514,68.3911247253418,56.40941588083903,60.713375091552734,27.929625034332275,9081.966634114584
2025-01-03 04:00:00+07:00,36.315500259399414,68.10533301035564,57.49370797475179,60.33808294932047,27.888583024342854,8957.279215494791
2025-01-03 05:00:00+07:00,24.113916714986164,41.669291178385414,35.88491662343343,58.021249771118164,27.643833955128986,4652.950032552083
2025-01-03 06:00:00+07:00,18.524333397547405,29.495917002360027,27.192041714986164,56.55412483215332,27.61679172515869,3317.0041707356772
2025-01-03 07:00:00+07:00,12.816375017166138,19.428583304087322,18.508416652679443,55.337541580200195,27.40066655476888,2283.295857747396
