datetime_local,pm1,pm25,relativehumidity,temperature,um003
2025-04-01 01:00:00+07:00,33.64441696802775,50.37812519073486,55.15954144795736,29.619375228881836,8046.7353922526045
2025-04-01 02:00:00+07:00,40.790916760762535,60.946291287740074,54.64391644795736,29.630750338236492,10220.945882161459
2025-04-01 03:00:00+07:00,32.178749561309814,48.918542544047035,56.06991672515869,29.40179141362508,7628.5207926432295
2025-04-01 04:00:00+07:00,31.00379180908203,47.3130833307902,56.64749972025553,29.16254170735677,7086.64794921875
2025-04-01 05:00:00+07:00,27.63783327738444,41.94462490081787,56.11062494913737,29.021124998728435,5880.487548828125
2025-04-01 06:00:00+07:00,31.200291792551678,47.67758353551229,56.40983295440674,28.879999319712322,6835.497904459636
2025-04-01 07:00:00+07:00,60.879041035970054,98.28487396240234,58.51424980163574,28.845208168029785,15049.076904296875
2025-04-01 08:00:00+07:00,51.54362551371256,81.58529218037923,56.83862495422363,29.131708304087322,12861.0146484375
2025-04-01 09:00:00+07:00,47.32412465413412,75.07945823669434,53.984833081563316,29.714625040690105,11844.385335286459
2025-04-01 10:00:00+07:00,54.174166679382324,87.48929150899251,52.330833435058594,30.247666835784912,13501.325032552084
2025-04-01 11:00:00+07:00,58.166958808898926,94.87650044759114,49.54137579600016,31.10033353169759,14458.724934895834
2025-04-01 12:00:00+07:00,43.279500325520836,67.72991689046223,47.55416679382324,31.215833346048992,10557.93115234375
2025-04-01 13:00:00+07:00,27.316583156585693,39.88854122161865,54.40341599782308,29.477625052134197,5645.5687255859375
2025-04-01 14:00:00+07:00,25.802291711171467,38.426041762034096,51.03345775604248,30.510083357493084,5242.718729654948
2025-04-01 15:00:00+07:00,44.12933317820231,68.83824984232585,49.84850025177002,30.66420888900757,11068.918701171875
2025-04-01 16:00:00+07:00,72.49016729990642,115.12233289082845,54.13541634877523,29.947916507720947,17697.666829427082
2025-04-01 17:00:00+07:00,49.715749422709145,77.48474979400635,57.175292015075684,29.10254160563151,12354.772867838541
2025-04-01 18:00:00+07:00,28.64733362197876,43.03575038909912,54.25120830535889,29.082624912261963,6176.9770100911455
2025-04-01 19:00:00+07:00,47.498166720072426,76.41833241780598,58.31737518310547,28.989624977111816,11940.493815104166
2025-04-01 20:00:00+07:00,44.7475004196167,72.56887499491374,63.14054171244303,28.185791333516438,11257.624918619791
2025-04-01 21:00:00+07:00,47.39308293660482,77.36204210917155,66.9965009689331,27.45504156748454,11891.908365885416
2025-04-01 22:00:00+07:00,45.552541414896645,74.08383369445801,65.29054164886475,27.605000019073486,11455.175048828125
