datetime_local,pm25,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,boundary_layer_height,hour,day_of_week,month,is_weekend,is_rush_hour,is_dry_season,hour_sin,hour_cos,month_sin,month_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_roll_6h_mean,pm25_roll_6h_std,pm25_roll_12h_mean,pm25_roll_12h_std,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_48h_mean,pm25_roll_48h_std,pm25_roll_72h_mean,pm25_roll_72h_std,is_raining,hours_since_last_rain,wind_u,wind_v,pm25_diff_1h,pm25_diff_24h,pressure_trend_3h,wind_condition_encoded
2024-11-22 18:00:00+07:00,20.13333336512248,27.8,72.0,0.4,1007.5,8.9,160.0,18,4,11,0,1,1,-1.0,-1.8369701987210294e-16,-0.8660254037844386,0.5000000000000001,21.5833334128062,37.233333905537926,38.233333905537926,47.71666685740153,50.100000063578285,31.983333428700764,37.62916692097982,29.13999938964844,33.72500005033281,10.217836970272932,42.25277783473333,11.418852532169083,40.90815975599819,9.642798384583411,40.51345483462016,12.380920086590557,39.69728008023015,11.342921671465954,1,0,-5.955262396593839,6.613988946748809,-1.450000047683723,-11.850000063578284,1.6000000000000227,2
2024-11-22 19:00:00+07:00,21.533333381017048,27.9,74.0,0.0,1008.1,3.6,60.0,19,4,11,0,1,1,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,20.13333336512248,21.5833334128062,37.233333905537926,42.96666622161865,48.5,35.89999961853027,32.28333314259847,29.15000009536743,30.152777910232547,10.086472903847628,40.00555561648475,12.663331552075933,40.30954866276847,10.384612527755756,40.28949650625388,12.627730476425851,39.59149304253084,11.47739420246904,0,1,-1.8000000000000016,-3.1176914536239786,1.4000000158945696,-14.366666237513224,2.200000000000045,2
2024-11-22 20:00:00+07:00,11.050000111262005,27.5,82.0,0.0,1009.5,6.3,80.0,20,4,11,0,0,1,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,21.533333381017048,20.13333336512248,21.5833334128062,42.199999491373696,55.45000044504801,37.25,16.18333347638448,31.78333314259847,24.9611113468806,10.646547231678731,36.30555558866925,14.14076294090406,39.21788200073773,11.975487202727138,40.18255206114716,12.855905332560638,39.30353008376228,11.927332819329978,0,2,-2.8601401483591453,-5.613341102386717,-10.483333269755043,-26.199999888737995,2.6000000000000227,2
2024-11-22 21:00:00+07:00,16.041666825612385,26.9,86.0,0.0,1009.8,5.0,65.0,21,4,11,0,0,1,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,11.050000111262005,21.533333381017048,20.13333336512248,38.233333905537926,52.20000012715658,32.012499968210854,34.08333365122477,30.95000012715657,21.26250016689301,8.809893197297047,33.2923611468739,14.297528946528407,38.55243061979612,12.80807211966971,39.80668400228024,13.29428991060866,39.09646989901861,12.200667228495869,0,3,1.1247552717193243,-4.871850323926176,4.99166671435038,-15.970833142598469,2.2999999999999545,2
2024-11-22 22:00:00+07:00,23.983333269755047,26.1,89.0,0.0,1009.6,3.2,50.0,22,4,11,0,0,1,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,16.041666825612385,11.050000111262005,21.533333381017048,37.233333905537926,49.73333295186361,31.75,22.14999993642171,30.21666669845581,19.05416672759586,4.714786818730767,31.14652784003152,13.51668972688093,38.22881950603591,13.082591350653152,39.84487844672468,13.245025314015184,39.00989582361999,12.286378743747091,0,4,-0.1674750599774218,-3.1956145112146364,7.941666444142662,-7.766666730244953,1.5,2
2024-11-22 23:00:00+07:00,30.99166679382324,25.6,92.0,0.0,1009.5,4.6,50.0,23,4,11,0,0,1,-0.2588190451025215,0.965925826289068,-0.8660254037844386,0.5000000000000001,23.983333269755047,16.041666825612385,11.050000111262005,21.5833334128062,51.083333333333336,31.63333368301392,21.599999745686848,31.06666660308838,20.622222291098694,6.819098297261811,29.472222295072346,11.9795966424423,38.20208338565297,13.097303587020358,40.04053817689419,13.0375145118978,39.008854159602414,12.287064832046331,0,5,0.719598539185061,-4.543366366737634,7.008333524068192,-0.6416668891906809,0.0,2
2024-11-23 00:00:00+07:00,34.08333269755045,25.0,93.0,0.0,1009.2,6.6,65.0,0,5,11,1,0,1,0.0,1.0,-0.8660254037844386,0.5000000000000001,30.99166679382324,23.983333269755047,16.041666825612385,20.13333336512248,47.71666685740153,34.51666673024496,27.15000009536743,35.800000508626304,22.9472221798367,8.729596119357943,28.33611111508475,10.666564971775491,38.18402780095736,13.102902592424044,40.18498260610634,12.929621049123464,38.98501155111525,12.29504217346198,0,6,3.1997434936258258,-5.772490067120011,3.0916659037272147,-0.4333340326945034,-0.599999999999909,2
2024-11-23 01:00:00+07:00,41.483333905537926,24.5,93.0,0.0,1008.8,7.4,100.0,1,5,11,1,0,1,0.2588190451025207,0.9659258262890684,-0.8660254037844386,0.5000000000000001,34.08333269755045,30.99166679382324,23.983333269755047,21.533333381017048,42.96666622161865,37.81666692097982,34.16666603088379,37.100000063578285,26.27222226725684,11.456734656259904,28.212500088744694,10.48871540541929,38.33680559198061,13.119798476454648,40.33741318682829,12.900255663010872,39.04589118780913,12.296429056734418,0,7,4.854836814529753,-5.584850893648515,7.400001207987472,3.6666669845581055,-0.8000000000000682,2
2024-11-23 02:00:00+07:00,38.75,24.2,95.0,0.0,1008.3,6.7,125.0,2,5,11,1,0,1,0.4999999999999999,0.8660254037844387,-0.8660254037844386,0.5000000000000001,41.483333905537926,34.08333269755045,30.99166679382324,11.050000111262005,42.199999491373696,40.28333314259847,65.70000076293945,47.51666609446208,30.88888891537984,9.51189853879516,27.925000131130226,10.110937145434946,38.27291671103902,13.113639389082968,39.77595483760039,12.347544978804171,38.92413193649716,12.254703033526258,0,8,6.120754566205426,-2.725135508607861,-2.733333905537925,-1.5333331425984724,-1.2000000000000457,2
2024-11-23 03:00:00+07:00,34.83749930063883,24.2,96.0,0.0,1007.8,5.8,130.0,3,5,11,1,0,1,0.7071067811865476,0.7071067811865476,-0.8660254037844386,0.5000000000000001,38.75,41.483333905537926,34.08333269755045,16.041666825612385,38.233333905537926,39.333333015441895,71.0166654586792,57.21666685740153,34.02152766121758,6.14250822029277,27.64201391405529,9.840091808161455,38.085590306255554,13.129933931913698,39.02222220930789,11.473229408804508,38.61331016487546,12.066568760448414,0,9,4.692298567374695,-3.4091544632963453,-3.912500699361168,-4.495833714803062,-1.400000000000091,2
