datetime_local,pm1,pm25,relativehumidity,temperature,um003
2025-11-01 01:00:00+07:00,33.7158193535275,51.3814444647895,60.47694476445516,27.875249814987182,8184.211111111111
2025-11-01 02:00:00+07:00,39.5271666208903,59.58624992370605,61.28383355140685,27.599416939417523,9795.629166666666
2025-11-01 03:00:00+07:00,50.10591646830242,76.1765832265218,62.87633345921835,27.460749848683676,12436.879166666666
2025-11-01 04:00:00+07:00,50.706458346049,77.05555530124239,64.29956900278727,27.42924981911977,12562.678472222222
2025-11-01 05:00:00+07:00,44.160291735331214,69.38370812733969,65.52566652297973,27.467999935150146,11016.939583333333
2025-11-01 06:00:00+07:00,35.541333516438804,55.365791384379065,66.34629170099895,27.40183302561442,8879.039583333333
2025-11-01 07:00:00+07:00,34.888916651407875,54.32245820363363,66.34558362960816,27.456541514396672,8675.470833333335
2025-11-01 08:00:00+07:00,39.423624992370605,62.54033330281575,65.77045815785726,27.762916779518132,9909.110416666665
2025-11-01 09:00:00+07:00,39.27479216257731,63.8836664835612,61.83204189936321,29.002958385149636,9898.910416666668
2025-11-01 10:00:00+07:00,36.31824998855591,58.662375068664545,59.038125181198126,29.293541924158735,9007.456250000001
2025-11-01 11:00:00+07:00,40.87733329137166,64.99154132207234,59.058292102813716,28.92750007311503,9972.81875
2025-11-01 12:00:00+07:00,26.215416598320004,40.254374639193216,63.63012509346007,27.625583545366922,5417.539583333333
2025-11-01 13:00:00+07:00,31.538041570451526,48.70045833587647,64.01773597929213,27.77683327992757,7174.104166666667
2025-11-01 14:00:00+07:00,29.233333343929715,44.74012521107991,63.211472225189205,27.854749623934428,6390.726388888888
2025-11-01 15:00:00+07:00,30.62616659800212,47.1751661936442,62.06075003941854,28.083333524068195,6871.870833333333
2025-11-01 16:00:00+07:00,28.75941666497125,44.31058311462402,62.061528052224055,28.11579202810923,6190.892361111112
2025-11-01 17:00:00+07:00,29.098777837223476,45.1449171702067,62.842736307779944,28.00137507915497,6359.402083333333
2025-11-01 18:00:00+07:00,14.734486100408764,22.253624847200182,64.65219432512919,26.948972203996444,3012.066666666666
2025-11-01 19:00:00+07:00,12.099666674931845,17.75855558183458,69.39223594665528,25.620500342051187,2194.4874999999997
2025-11-01 20:00:00+07:00,13.309291656812034,18.8210417509079,69.93312463760377,25.649083836873373,2387.6375000000003
2025-11-01 21:00:00+07:00,14.262125007311502,20.320958336194355,69.44916661580403,25.619250337282818,2535.4520833333336
2025-11-01 22:00:00+07:00,16.95755554305183,24.682013837496445,69.68698603312174,25.69580581188202,2997.2402777777775
2025-11-01 23:00:00+07:00,28.084375013245477,42.971874936421706,68.69848634931775,25.781110763549805,6016.277083333333
2025-11-02 00:00:00+07:00,33.59983342488607,51.783625348409025,68.85737436082628,25.879277526007755,8154.981944444445
2025-11-02 01:00:00+07:00,37.71711099412706,60.039361360337985,69.36779126061332,25.937930432955422,9516.65625
2025-11-02 02:00:00+07:00,35.72433293660482,58.13941637674967,69.0636663754781,25.929833189646406,9085.508333333333
2025-11-02 03:00:00+07:00,33.16030577553643,51.67436133490668,69.12709689670139,25.934777556525336,8010.227777777778
2025-11-02 04:00:00+07:00,31.123083138465883,48.27983373006185,68.82533280054729,25.917041412989295,7140.972916666667
2025-11-02 05:00:00+07:00,31.104916731516525,48.514208539326994,68.6074995358785,25.918333021799725,7158.572916666667
2025-11-02 06:00:00+07:00,33.13016645908356,50.62279211680095,68.82449951171876,25.811332790056863,7983.547916666666
