datetime_local,pm1,pm25,relativehumidity,temperature,um003,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,boundary_layer_height
2025-06-19T17:00:00Z,16.774907875424105,26.41746225236031,57.510531704962354,29.24390100642106,3324.4895707338596,28.64263959390863,74.751269035533,0.6857868020304569,1005.3439086294417,13.000253807106596,195.32994923857868,657.2842639593908
2025-06-19T18:00:00Z,16.770361999569808,26.418360538289026,57.50861347346944,29.243208366400495,3324.9265759463237,28.65482233502538,74.68020304568529,0.6817258883248731,1005.3350253807107,13.036040609137054,195.85279187817258,659.3654822335025
2025-06-19T19:00:00Z,16.76581612371551,26.419258824217742,57.506695241976516,29.242515726379935,3325.3635811587883,28.667005076142132,74.60913705583756,0.6776649746192893,1005.3261421319797,13.071827411167511,196.3756345177665,661.4467005076142
2025-06-19T20:00:00Z,16.761270247861212,26.42015711014646,57.50477701048359,29.241823086359375,3325.8005863712524,28.679187817258885,74.53807106598984,0.6736040609137057,1005.3172588832488,13.107614213197966,196.8984771573604,663.5279187817258
2025-06-19T21:00:00Z,16.756724372006914,26.421055396075175,57.50285877899067,29.241130446338815,3326.2375915837165,28.691370558375635,74.46700507614213,0.6695431472081217,1005.3083756345178,13.143401015228424,197.42131979695432,665.6091370558376
2025-06-19T22:00:00Z,16.752178496152613,26.421953682003892,57.50094054749775,29.24043780631825,3326.674596796181,28.703553299492388,74.39593908629442,0.6654822335025381,1005.2994923857868,13.179187817258882,197.94416243654823,667.6903553299492
2025-06-19T23:00:00Z,16.747632620298315,26.42285196793261,57.499022316004826,29.23974516629769,3327.111602008645,28.715736040609137,74.3248730964467,0.6614213197969543,1005.2906091370559,13.21497461928934,198.46700507614213,669.7715736040609
2025-06-20T00:00:00Z,16.743086744444017,26.423750253861325,57.4971040845119,29.23905252627713,3327.5486072211097,28.72791878172589,74.25380710659898,0.6573604060913705,1005.2817258883249,13.250761421319794,198.98984771573603,671.8527918781726
2025-06-20T01:00:00Z,16.73854086858972,26.42464853979004,57.49518585301898,29.23835988625657,3327.985612433574,28.74010152284264,74.18274111675127,0.6532994923857869,1005.2728426395939,13.286548223350252,199.51269035532994,673.9340101522843
2025-06-20T02:00:00Z,16.733994992735422,26.425546825718758,57.49326762152606,29.237667246236008,3328.4226176460384,28.752284263959393,74.11167512690355,0.6492385786802031,1005.263959390863,13.32233502538071,200.03553299492387,676.015228426396
2025-06-20T03:00:00Z,16.72944911688112,26.426445111647475,57.491349390033136,29.236974606215448,3328.8596228585025,28.764467005076142,74.04060913705584,0.6451776649746193,1005.255076142132,13.358121827411164,200.55837563451774,678.0964467005076
2025-06-20T04:00:00Z,16.724903241026823,26.42734339757619,57.489431158540214,29.236281966194888,3329.296628070967,28.776649746192895,73.96954314720813,0.6411167512690354,1005.246192893401,13.393908629441622,201.08121827411168,680.1776649746193
2025-06-20T05:00:00Z,16.720357365172525,26.428241683504908,57.48751292704729,29.235589326174328,3329.733633283431,28.788832487309644,73.8984771573604,0.6370558375634519,1005.2373096446701,13.42969543147208,201.60406091370558,682.258883248731
2025-06-20T06:00:00Z,16.715811489318227,26.429139969433624,57.48559469555437,29.234896686153764,3330.1706384958957,28.801015228426397,73.8274111675127,0.632994923857868,1005.2284263959391,13.465482233502538,202.1269035532995,684.3401015228427
2025-06-20T07:00:00Z,16.71126561346393,26.43003825536234,57.483676464061446,29.234204046133204,3330.60764370836,28.813197969543147,73.75634517766497,0.6289340101522842,1005.2195431472081,13.501269035532992,202.6497461928934,686.4213197969543
2025-06-20T08:00:00Z,16.706719737609628,26.430936541291057,57.48175823256853,29.233511406112644,3331.044648920824,28.8253807106599,73.68527918781726,0.6248730964467006,1005.2106598984772,13.53705583756345,203.1725888324873,688.5025380710659
