datetime_local,month,month_cos,pm25,pm25_lag_1,hours_since_last_rain,pm25_roll_72h_mean,pm25_roll_6h_mean,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_roll_12h_std,wind_u,pm25_roll_72h_std,surface_pressure,wind_v,pm25_roll_48h_std,pm25_roll_24h_mean,pm25_roll_48h_mean,day_of_week,hour_cos,is_dry_season,temperature_2m,relative_humidity_2m,pm25_roll_24h_std,pm25_lag_12,pm25_lag_2,target_pm25_h24_log
2024-11-22 11:00:00,1.6813551449421433,0.5712064549493917,-0.9233760955003968,-0.7865236472206596,-0.5045479038661733,0.4522583419817498,0.06563752902743847,-0.006732194157047269,0.3166077926445868,-0.19732840967230036,0.7822552918040593,-0.7377851200700063,0.30215640706999236,-0.5768278054016747,1.2693514602041707,0.5060950108611535,0.5221185774481472,0.5061681010562475,0.5000097857854752,-5.733540737148377e-5,0.8185127062156974,0.13769693343648154,-0.4063861420691804,0.39001799487656136,0.895901458981975,0.29904030104539825,3.827100364311202
2024-11-22 12:00:00,1.6813551449421433,0.5712064549493917,-0.7910979706368699,-0.9233723658802672,-0.4805450920457789,0.444172411565939,-0.18539237681281992,0.22464039353743231,0.009686863967545372,-0.1966447063500802,0.8924203060997549,0.06900687584500126,0.31651278927838994,-0.32126214453154794,-0.5004959145264812,0.5289652796092642,0.4826287991983129,0.49018880420908956,0.5000097857854752,0.36591456984367754,0.8185127062156974,0.1688394447705249,-0.2764622620863313,0.4692397276776261,0.8303168657426284,-0.7867638896290302,3.8586222206531464
2024-11-22 13:00:00,1.6813551449421433,0.5712064549493917,-2.0818940673976996,-0.7910944646680826,-0.45654228022538446,0.4220544792104188,-0.6069580857935857,0.2987313568759043,-1.352578603828858,-0.024076403507664445,1.010861988271515,-0.13683152967793874,0.36344798562479724,0.2750577308320486,-0.9543660374027945,0.5497432061076701,0.4091164255946161,0.4825277788923831,0.5000097857854752,0.706946094549038,0.8185127062156974,0.04426939943434929,0.24323325784506508,0.6230282357075957,1.1011807732584822,-0.9236209141596725,4.0221471489622
2024-11-22 14:00:00,1.6813551449421433,0.5712064549493917,-1.3671417961413876,-2.081888378994893,-0.43253946840498997,0.4060526593869286,-0.9623703751792415,-0.0049096333558098235,0.11821494621518941,-0.0771400301796547,1.022744428250203,0.6368817578663266,0.3911695969674151,0.4028405612670877,-0.8195151736614097,0.5887201330600376,0.36331981817807774,0.45544352796846604,0.5000097857854752,0.9997965038812788,0.8185127062156974,-0.14258566856991522,0.5030810178107633,0.6961503287976264,0.9789318115691075,-0.7913349844968093,3.836580819859735
2024-11-22 15:00:00,1.6813551449421433,0.5712064549493917,-0.5782514469321344,-1.3671373162173455,-0.40853665658459554,0.3993376152826823,-1.203942964720463,-0.021371036721746322,-0.7384211587625021,-0.12499371148867326,0.9623067618088875,0.38598037331209467,0.39974435060645075,0.31765200764374446,-0.5146673539114541,0.5844000664749033,0.34076957661103235,0.45820710092703715,0.5000097857854752,1.224508526402593,0.8185127062156974,-0.39172575924226644,0.6979668377850369,0.7192963513506228,0.8810548570863527,-2.082207242032747,3.6468631786135024
2024-11-22 16:00:00,1.6813551449421433,0.5712064549493917,-0.06833797623000687,-0.5782483008369905,-0.3845338447642011,0.3992567310691274,-1.0298520267088767,-0.02872959101461163,-0.7879668845868165,-0.0696283719190153,0.8331999054760859,0.5582159173726746,0.3998127648711489,0.2750577308320486,-0.7597755967997397,0.5660376969963553,0.33889820780455127,0.4723237272507075,0.5000097857854752,1.365768409132328,0.8185127062156974,-0.5474383159124865,0.8928526577593106,0.7205240387040852,0.9351973838470503,-1.367412798285268,3.657130739392056
2024-11-22 17:00:00,1.6813551449421433,0.5712064549493917,0.12190160393005009,-0.06833569227916925,-0.3605310329438066,0.397404799380404,-0.7936812179932934,0.14585338394766026,-0.33547494277357887,0.21411496920201434,0.7101709124100865,1.0397645915531628,0.4006079775179779,0.1472749003970095,-0.983309587317723,0.5563827937592247,0.3376337025421438,0.4827021131740778,0.9999412492360842,1.413949524505447,0.8185127062156974,-0.734293383916751,0.9578145977507351,0.7209909205931162,0.7974306647846154,-0.5784759022196817,3.4154015929038235
2024-11-22 18:00:00,1.6813551449421433,0.5712064549493917,0.5165775197255507,0.12190356623029348,-0.3365282211234122,0.40213132795186757,-0.49302670650255764,0.3290550939143257,0.12310350889258391,0.2856612918564017,0.6924501876193319,1.3611199997921868,0.4007461787873157,-0.023102206849773894,-0.9491846792954214,0.5537420684906974,0.34831500147892397,0.4936149076281971,0.9999412492360842,1.3657684091323288,0.8185127062156974,-0.8900059405869711,0.9578145977507351,0.7223986877038436,0.5859279843293419,-0.06853234511950562,3.397022010251675
2024-11-22 19:00:00,1.6813551449421433,0.5712064549493917,0.3794369450857498,0.5165788147212156,-0.31252540930301775,0.3926710706111643,-0.13138723549263892,0.45609168170619446,1.4420757183013773,0.7837613008930088,0.6538805259020443,1.606912494238714,0.3965819095830147,-0.2360735909082047,-0.42910391641944606,0.5029700289327594,0.3438533328629219,0.453218229691275,0.9999412492360842,1.2245085264025934,0.8185127062156974,-0.9834334745891034,1.0877384777335841,0.7218857070025849,0.549661073020253,0.12171845973662657,3.5090547870315296
2024-11-22 20:00:00,1.6813551449421433,0.5712064549493917,0.16576184402273417,0.3794384719540213,-0.28852259748262327,0.3683898849583752,0.08530030851021501,0.40808761431250284,1.60010477597625,1.159385854501979,0.6254124119613647,1.329561329287467,0.3776417805372132,-0.44904497496663554,-0.5535026945765097,0.4181958405165971,0.33072946441078244,0.39810402349303137,0.9999412492360842,0.9997965038812792,0.8185127062156974,-0.9834334745891034,1.1527004177250086,0.7232423669546486,0.351096642749667,0.5164176625747041,3.649033553837083
