datetime_local,pm1,pm25,relativehumidity,temperature,um003,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,boundary_layer_height
2024-11-19T11:00:00Z,18.6,29.13999938964844,62.8,27.171999740600587,3519.66005859375,32.8,49,0,1010.1,6.3,70,1245
2024-11-19T12:00:00Z,18.70000012715657,29.15000009536743,57.81666692097982,29.02500057220459,3363.499979654948,33.5,47,0.1,1009,8.4,71,1290
2024-11-19T13:00:00Z,20.53333314259847,31.78333314259847,57.333333333333336,29.13000043233236,3903.65000406901,33.5,47,0.2,1008.1,8.9,66,1265
2024-11-19T14:00:00Z,20.016666889190677,30.95000012715657,56.8833335240682,29.161667188008625,3583.2999877929688,33.8,48,0.2,1007.3,6.8,65,1460
2024-11-19T15:00:00Z,19.67916679382324,30.21666669845581,56.39583269755045,29.04375028610229,3495.0249837239585,33.5,49,0,1006.7,6,73,1460
2024-11-19T16:00:00Z,20.449999968210857,31.06666660308838,57.100000063578285,29.019999980926517,3689.799967447917,32.8,52,0,1006.5,5.2,65,1390
2024-11-19T17:00:00Z,23.733333269755047,35.800000508626304,57,29.12833372751872,4618.400065104167,32,55,0,1006.8,5.6,59,910
2024-11-19T18:00:00Z,24.59999990463257,37.100000063578285,57.68333307902018,29.0049999554952,4913.149983723958,30.9,59,0.1,1007.6,1,211,150
2024-11-19T19:00:00Z,31.383333524068195,47.51666609446208,56.61666679382324,29.010000069936115,7251.5,29.3,68,0,1008.4,4.9,204,245
2024-11-19T20:00:00Z,37.96666653951009,57.21666685740153,55.95000012715658,29.138333956400555,9498.9000244140625,26.6,77,0.2,1009.5,2.8,105,95
2024-11-19T21:00:00Z,21.925000190734863,32.52500009536743,54.03333346048991,28.76750024159749,4077.1749471028647,26.6,79,0.1,1010,4,309,85
2024-11-19T22:00:00Z,19.566667079925537,28.81666660308838,54.44999980926514,28.59500042597453,3406.75,26.8,79,0,1009.9,3.2,164,55
2024-11-19T23:00:00Z,23.71666653951009,35.833333333333336,55.21666685740153,28.585000197092693,4661.150004069011,26.4,82,0,1009.9,3.6,307,75
2024-11-20T01:00:00Z,36.36666711171468,54.24999968210856,56.350000063578285,28.806665897369385,8876.499959309896,25.5,89,0,1008.9,2.5,8,60
2024-11-20T02:00:00Z,34.56666660308838,53.43333371480306,52.583333333333336,28.84166669845581,7735.4000244140625,25.2,91,0,1008.5,3.6,357,65
2024-11-20T03:00:00Z,17.166666825612385,24.933333079020183,51.30000019073486,28.663333892822266,2993.3499959309897,25,93,0,1007.9,4.1,23,70
2024-11-20T04:00:00Z,21.166666825612385,31.620833079020183,53.84999974568685,28.726666927337646,3875.7875366210938,24.7,93,0,1007.5,4.5,2,80
2024-11-20T05:00:00Z,23.833333492279053,36.30000019073486,52.683332761128746,29.00833336512248,4644.19999186198,24.5,94,0,1007.6,5.8,340,110
