datetime_local,target_pm25_h24,month,month_cos,pm25,pm25_lag_1,hours_since_last_rain,pm25_roll_72h_mean,pm25_roll_6h_mean,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_roll_12h_std,wind_u,pm25_roll_72h_std,surface_pressure,wind_v,pm25_roll_48h_std,pm25_roll_24h_mean,pm25_roll_48h_mean,day_of_week,hour_cos,is_dry_season,temperature_2m,relative_humidity_2m,pm25_roll_24h_std,pm25_lag_12,pm25_lag_2
2024-11-22 18:00:00+07:00,44.92916711171468,11,0.5000000000000001,20.13333336512248,21.5833334128062,0,39.69728008023015,33.72500005033281,31.983333428700764,37.62916692097982,29.13999938964844,11.418852532169083,-5.955262396593839,11.342921671465954,1007.5,6.613988946748809,12.380920086590557,40.90815975599819,40.51345483462016,4,-1.8369701987210294e-16,1,27.8,72.0,9.642798384583411,50.100000063578285,37.233333905537926
2024-11-22 19:00:00+07:00,46.39999961853027,11,0.5000000000000001,21.533333381017048,20.13333336512248,1,39.59149304253084,30.152777910232547,35.89999961853027,32.28333314259847,29.15000009536743,12.663331552075933,-1.8000000000000016,11.47739420246904,1008.1,-3.1176914536239786,12.627730476425851,40.30954866276847,40.28949650625388,4,0.2588190451025203,1,27.9,74.0,10.384612527755756,48.5,21.5833334128062
2024-11-22 20:00:00+07:00,54.82083288828532,11,0.5000000000000001,11.050000111262005,21.533333381017048,2,39.30353008376228,24.9611113468806,37.25,16.18333347638448,31.78333314259847,14.14076294090406,-2.8601401483591453,11.927332819329978,1009.5,-5.613341102386717,12.855905332560638,39.21788200073773,40.18255206114716,4,0.5000000000000001,1,27.5,82.0,11.975487202727138,55.45000044504801,20.13333336512248
2024-11-22 21:00:00+07:00,45.36666711171468,11,0.5000000000000001,16.041666825612385,11.050000111262005,3,39.09646989901861,21.26250016689301,32.012499968210854,34.08333365122477,30.95000012715657,14.297528946528407,1.1247552717193243,12.200667228495869,1009.8,-4.871850323926176,13.29428991060866,38.55243061979612,39.80668400228024,4,0.7071067811865474,1,26.9,86.0,12.80807211966971,52.20000012715658,21.533333381017048
2024-11-22 22:00:00+07:00,37.354166984558105,11,0.5000000000000001,23.983333269755047,16.041666825612385,4,39.00989582361999,19.05416672759586,31.75,22.14999993642171,30.21666669845581,13.51668972688093,-0.1674750599774218,12.286378743747091,1009.6,-3.1956145112146364,13.245025314015184,38.22881950603591,39.84487844672468,4,0.8660254037844384,1,26.1,89.0,13.082591350653152,49.73333295186361,11.050000111262005
2024-11-22 23:00:00+07:00,37.749999364217125,11,0.5000000000000001,30.99166679382324,23.983333269755047,5,39.008854159602414,20.622222291098694,31.63333368301392,21.599999745686848,31.06666660308838,11.9795966424423,0.719598539185061,12.287064832046331,1009.5,-4.543366366737634,13.0375145118978,38.20208338565297,40.04053817689419,4,0.965925826289068,1,25.6,92.0,13.097303587020358,51.083333333333336,16.041666825612385
2024-11-23 00:00:00+07:00,29.42916711171468,11,0.5000000000000001,34.08333269755045,30.99166679382324,6,38.98501155111525,22.9472221798367,34.51666673024496,27.15000009536743,35.800000508626304,10.666564971775491,3.1997434936258258,12.29504217346198,1009.2,-5.772490067120011,12.929621049123464,38.18402780095736,40.18498260610634,5,1.0,1,25.0,93.0,13.102902592424044,47.71666685740153,23.983333269755047
2024-11-23 01:00:00+07:00,28.875,11,0.5000000000000001,41.483333905537926,34.08333269755045,7,39.04589118780913,26.27222226725684,37.81666692097982,34.16666603088379,37.100000063578285,10.48871540541929,4.854836814529753,12.296429056734418,1008.8,-5.584850893648515,12.900255663010872,38.33680559198061,40.33741318682829,5,0.9659258262890684,1,24.5,93.0,13.119798476454648,42.96666622161865,30.99166679382324
2024-11-23 02:00:00+07:00,32.416666984558105,11,0.5000000000000001,38.75,41.483333905537926,8,38.92413193649716,30.88888891537984,40.28333314259847,65.70000076293945,47.51666609446208,10.110937145434946,6.120754566205426,12.254703033526258,1008.3,-2.725135508607861,12.347544978804171,38.27291671103902,39.77595483760039,5,0.8660254037844387,1,24.2,95.0,13.113639389082968,42.199999491373696,34.08333269755045
2024-11-23 03:00:00+07:00,37.43750031789144,11,0.5000000000000001,34.83749930063883,38.75,9,38.61331016487546,34.02152766121758,39.333333015441895,71.0166654586792,57.21666685740153,9.840091808161455,4.692298567374695,12.066568760448414,1007.8,-3.4091544632963453,11.473229408804508,38.085590306255554,39.02222220930789,5,0.7071067811865476,1,24.2,96.0,13.129933931913698,38.233333905537926,41.483333905537926
2024-11-23 04:00:00+07:00,42.48333326975504,11,0.5000000000000001,28.35000006357829,34.83749930063883,10,38.55532405332283,34.749305460188125,54.03333377838135,49.725000063578285,32.52500009536743,9.3761455781055,3.019641678742034,12.106204741295665,1007.9,-4.476802891797225,11.46379406133613,37.01545140147209,38.57690970930789,5,0.5000000000000001,1,24.1,96.0,12.81652339959677,37.233333905537926,38.75
2024-11-23 05:00:00+07:00,43.21666590372721,11,0.5000000000000001,24.75000015894572,28.35000006357829,11,38.49884257493196,33.709027687708534,50.13333320617676,53.46666653951009,28.81666660308838,9.25665400566026,2.8678821817552302,12.161639962773275,1008.5,-4.095760221444959,11.419441630452688,35.957812524504135,37.978645826379456,5,0.2588190451025207,1,23.9,96.0,12.73402038445299,21.5833334128062,34.83749930063883
2024-11-23 06:00:00+07:00,44.83749993642172,11,0.5000000000000001,24.90000009536743,24.75000015894572,12,38.346990724404655,32.17847225401136,50.100000063578285,59.35000069936117,35.833333333333336,9.026871913049764,2.328485446884399,12.26322389306666,1009.2,-2.875440057390792,11.126509009024955,34.90781252582868,37.26093748046292,5,6.123233995736766e-17,1,23.6,98.0,12.554896976154556,20.13333336512248,28.35000006357829
2024-11-23 07:00:00+07:00,52.78333314259847,11,0.5000000000000001,29.9333332379659,24.90000009536743,13,38.07106479008993,30.253472142749363,48.5,58.39999961853027,49.800000508626304,8.840571500240486,2.28972985962235,12.225342731627288,1009.6,-1.4307820134296536,10.727290758278135,34.13420141074392,36.66788193086783,5,-0.2588190451025206,1,24.7,93.0,12.249258327073688,21.533333381017048,24.75000015894572
2024-11-23 08:00:00+07:00,63.11249987284342,11,0.5000000000000001,30.487499713897705,29.9333332379659,14,37.741030068309215,28.876388761732315,55.45000044504801,53.19999980926514,54.24999968210856,6.986317949709663,3.1176914536239795,12.1025543941318,1010.2,1.7999999999999998,10.480633830314472,33.09409721361266,36.19470484554768,5,-0.4999999999999998,1,27.3,77.0,11.390291676555876,11.050000111262005,24.90000009536743
2024-11-23 09:00:00+07:00,52.94166628519694,11,0.5000000000000001,45.46666653951009,30.487499713897705,15,37.63038191309682,30.64791663487752,52.20000012715658,50.699999491373696,53.43333371480306,6.849232776407504,2.1449244407331385,11.99298796973247,1010.8,1.7998053071223097,10.352970937638666,32.813541647460724,36.08567707571719,5,-0.7071067811865475,1,29.1,70.0,10.974569406898238,16.041666825612385,29.9333332379659
2024-11-23 10:00:00+07:00,48.08749961853027,11,0.5000000000000001,38.737500508626304,45.46666653951009,16,37.82210646073023,32.37916670905219,49.73333295186361,47.38333320617676,24.933333079020183,6.5306362364075765,-0.1674750599774203,11.897105255757245,1010.6,3.1956145112146364,10.226671608738643,32.35538196232584,35.90555556118488,5,-0.8660254037844387,1,31.0,61.0,10.454712060184116,23.983333269755047,30.487499713897705
2024-11-23 11:00:00+07:00,32.08333365122477,11,0.5000000000000001,32.166666666666664,38.737500508626304,17,37.82968748278088,33.615277793672355,51.083333333333336,42.65833377838135,31.620833079020183,6.497281540898419,-0.5435480089917984,11.893271340599169,1009.8,5.1715138559150216,10.191331546828598,31.567187517881397,35.68697916302416,5,-0.9659258262890682,1,32.2,55.0,9.664620682057388,30.99166679382324,45.46666653951009
2024-11-23 12:00:00+07:00,36.86666615804037,11,0.5000000000000001,38.3041664759318,32.166666666666664,18,37.857523125630834,35.84930552376641,47.71666685740153,31.050000031789143,36.30000019073486,6.634946192735223,-0.1640276345017545,11.891986013613142,1008.7,4.697136886989751,10.17487937268248,31.17500000198682,35.838107630610466,5,-1.0,1,32.8,54.0,9.15851296726485,34.08333269755045,38.737500508626304
2024-11-23 13:00:00+07:00,26.070833524068195,11,0.5000000000000001,36.125,38.3041664759318,19,37.8039351635509,36.88124998410543,42.96666622161865,41.34166622161865,39.98333326975504,6.256045489729296,0.7312160604308849,11.890964929099898,1007.8,5.955276909847932,10.14265293427067,30.889930576086044,35.729427084326744,5,-0.9659258262890684,1,33.6,53.0,8.877698077642714,41.483333905537926,32.166666666666664
2024-11-23 14:00:00+07:00,22.72083330154419,11,0.5000000000000001,26.699999968210857,36.125,20,37.604398131370544,36.25000002649095,42.199999491373696,31.633333524068195,41.06666628519694,6.315348191172639,1.7880405410327311,11.955806894613769,1006.6,8.412069366310728,10.20981561102838,30.24409726262093,35.62664930191305,5,-0.8660254037844388,1,33.8,51.0,8.577874663819369,38.75,38.3041664759318
